position,title,price,date,link,location
684,Benelli wild 308win,300 000 руб.,"6 Сентября, в 10:39",https://gunsbroker.ru/hunting/890530_benelli-wild-308win.html,"Иркутская область, Иркутск"
685,ATA ARMS ALR,200 000 руб.,"5 Сентября, в 23:38",https://gunsbroker.ru/hunting/877581_ata-arms-alr.html,"Карачаево-Черкесская Республика, Сторожевая"
686,Блазер Р8 калибр 308 вин,650 000 руб.,"5 Сентября, в 22:46",https://gunsbroker.ru/hunting/873538_blazer-r8-kalibr-308-vin.html,"Пензенская область, Пенза"
687,Savage 116,100 000 руб.,"5 Сентября, в 15:22",https://gunsbroker.ru/hunting/692590_savage-116.html,"Красноярский край, c. Агинское"
688,Лось 7.1,80 000 руб.,"5 Сентября, в 13:48",https://gunsbroker.ru/hunting/890335_los-71.html,"Алтайский край, Бийск"
689,Blaser R8 Professional Success 308 Win,1 350 000 руб.,"5 Сентября, в 09:09",https://gunsbroker.ru/hunting/887954_blaser-r8-professional-success-308-win.html,Москва
690,Ремингтон 750 мастер,200 000 руб.,"5 Сентября, в 09:03",https://gunsbroker.ru/hunting/642552_remington-750-master.html,"Самарская область, Тольяттт"
691,Ремингтон R25,250 000 руб.,"4 Сентября, в 20:18",https://gunsbroker.ru/hunting/724595_remington-r25.html,"Карачаево-Черкесская Республика, Черкесск"
692,"Benelli Armi Argo(7,62x51)",199 000 руб.,"4 Сентября, в 18:41",https://gunsbroker.ru/hunting/687561_benelli-armi-argo762x51.html,"Республика Коми, Сыктывкар"
693,Карабин Savage 110 STORM 308Win L559,271 480 руб.,"4 Сентября, в 17:20",https://gunsbroker.ru/hunting/810338_karabin-savage-110-storm-308win-l559.html,"Воронежская область, Воронеж"
694,Лось 145,140 000 руб.,"4 Сентября, в 16:15",https://gunsbroker.ru/hunting/678852_los-145.html,"Краснодарский край, АНАПА (Город)"
695,CZ 550 LUX кал. 308 WIN,135 000 руб.,"4 Сентября, в 13:46",https://gunsbroker.ru/hunting/890045_cz-550-lux-kal-308-win.html,"Московская область, Фрязино"
696,CZ 557 308win,145 000 руб.,"4 Сентября, в 13:10",https://gunsbroker.ru/hunting/890034_cz-557-308win.html,"Новосибирская область, Новосибирск"
697,"LAR 10 ""Счетчик""",690 000 руб.,"3 Сентября, в 22:56",https://gunsbroker.ru/hunting/759634_lar-10.html,Новосибирская область
698,SAKO A7 кал.308 WIN с прицелом Карл Цейс 4-12*42,580 000 руб.,"3 Сентября, в 14:19",https://gunsbroker.ru/hunting/889752_sako-a7-kal308-win-s-pricelom-karl-ceys-4-1242.html,"Московская область, Кашира"
699,CZ 550 308 Win,130 000 руб.,"3 Сентября, в 13:20",https://gunsbroker.ru/hunting/842407_cz-550-308-win.html,"Кабардино-Балкарская Республика, Нальчик"
700,Blaser R8 Professional 308 / 223 Left Hand LH Блейзер Р8 Профессионал 308 / 223 Левый затв,1 100 000 руб.,"3 Сентября, в 02:35",https://gunsbroker.ru/hunting/755531_blaser-r8-professional-308--223-left-hand-lh-bleyzer-r8-professional-308--223-levyy-zatvor-levsha--dopy.html,"Красноярский край, Красноярск"
701,Продаю карабин ORSIS T-5000 .308Win,950 000 руб.,"2 Сентября, в 15:53",https://gunsbroker.ru/hunting/889469_t-5000.html,"Москва, г Москва"
702,сайга 308-1,70 000 руб.,"2 Сентября, в 15:31",https://gunsbroker.ru/hunting/889458_sayga-308-1.html,Республика Бурятия
703,Карабин Browning X-Bolt 308 SF Hunter II Monte Carlo THR L530,318 180 руб.,"2 Сентября, в 14:48",https://gunsbroker.ru/hunting/779980_karabin-browning-x-bolt-308-sf-hunter-ii-monte-carlo-thr-l530.html,"Воронежская область, Воронеж"
704,Сако 85S Warmint 22-250rem,230 000 руб.,"2 Сентября, в 13:10",https://gunsbroker.ru/hunting/866523_sako-85s-warmint-22-250rem.html,"Республика Татарстан, Казань"
705,Карабин Сайга-308 исп.46 350мм,75 900 руб.,"2 Сентября, в 11:59",https://gunsbroker.ru/hunting/889391_karabin-sayga-308-isp46-350mm.html,"Воронежская область, Воронеж"
706,CZ 750 S1 M1. 308 WIN,450 000 руб.,"2 Сентября, в 06:50",https://gunsbroker.ru/hunting/851455_cz-750-s1-m1-308-win.html,"Ямало-Ненецкий автономный округ, Уренгой"
707,Вепрь 308win,70 000 руб.,"1 Сентября, в 18:38",https://gunsbroker.ru/hunting/884629_vepr-308win.html,"Республика Адыгея, Майкоп"
